
Name                                                                            Value
Microsoft.Azure.SCOMMI.WindowsAgent.Test                                        1.0.420.0
Microsoft.Azure.SCOMMIServer.ScomServerForWindows                               2.0.11
Microsoft.Azure.Security.AntimalwareSignature.AntimalwareConfiguration          2.201.0.1
Microsoft.Azure.Security.AntimalwareSignature.Edp.AntimalwareConfiguration      1.1.0.10
Microsoft.Azure.Security.AzureDiskEncryption                                    2.5.0.6
Microsoft.Azure.Security.AzureDiskEncryptionForLinux                            1.4.0.11
Microsoft.Azure.Security.ConfidentialDiskEncryption.ConfDiskEncWindows          1.0.0.3
Microsoft.Azure.Security.ConfidentialDiskEncryption.Edp.ConfDiskEncLinuxTest    1.0.0.12
Microsoft.Azure.Security.Dsms.DSMSForWindows                                    4.8.3216369
Microsoft.Azure.Security.Dsms.Edp.DSMSForWindows                                3.15.1580.0
Microsoft.Azure.Security.Edp.ADETest                                            2.4.0.28
Microsoft.Azure.Security.Edp.AzureDiskEncryption                                2.4.0.22
Microsoft.Azure.Security.Edp.AzureDiskEncryptionForLinux                        1.4.0.23
Microsoft.Azure.Security.Edp.AzureDiskEncryptionForLinuxTest1                   1.4.0.11
Microsoft.Azure.Security.Edp.AzureDiskEncryptionForLinuxTest2                   1.2.0.75
Microsoft.Azure.Security.Edp.AzureDiskEncryptionTest1                           2.4.0.30
Microsoft.Azure.Security.IaaSAntimalware                                        1.8.0.90
Microsoft.Azure.Security.LinuxAttestation.GuestAttestation                      1.0.1.43
Microsoft.Azure.Security.Monitoring.AzureSecurityLinuxAgent                     2.33.1089
Microsoft.Azure.Security.Monitoring.AzureSecurityLinuxAgentTest                 2.29.809
Microsoft.Azure.Security.Monitoring.AzureSecurityWindowsAgent                   1.8.0.76
Microsoft.Azure.Security.Test.IaaSAntimalware                                   1.7.0.3
Microsoft.Azure.Security.VMBackupForLinuxExtension                              0.1.0.995
Microsoft.Azure.Security.WindowsAttestation.GuestAttestation                    1.0.1.43
Microsoft.Azure.Security.WindowsCodeIntegrity.CodeIntegrityAgent                1.0.0.25
Microsoft.Azure.Security.WindowsCodeIntegrity.TestAzureCodeIntegrityVmExtension 1.0.0.34
Microsoft.Azure.ServiceFabric.MC.PrivateTest.ServiceFabricMCNode-Alsantam       1.1.0.1
Microsoft.Azure.ServiceFabric.MC.PrivateTest.ServiceFabricMCNodeMarTest         1.39.0.0
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SfmcBootstrapAlsantam              1.4.0.4
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapDSAS                  1.2.0.0
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapMi                    1.3.0.0
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapMi2                   1.2.0.0
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapMigration-Test        1.0.0.1
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapSpot                  1.0.0.2
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SfmcSetupAlsantam                  1.3.0.2
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SfmcSetupMarTest                   0.12.0.0
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCSetupMi                        0.3.0.0
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCSetupMigration-Test            0.1.0.2
Microsoft.Azure.ServiceFabric.MC.ServiceFabricMCNode                            1.5.0.0
Microsoft.Azure.ServiceFabric.MC.ServiceFabricMCNodeArm                         1.5.0.0
Microsoft.Azure.ServiceFabric.MC.ServiceFabricMCNodeLinux                       1.1.0.0
Microsoft.Azure.ServiceFabric.MC.SfmcSetup                                      1.2.0.2
Microsoft.Azure.ServiceFabric.MC.SfmcSetupArm                                   1.2.0.2
Microsoft.Azure.ServiceFabric.MC.SfmcSetupLinux                                 1.1.0.0
Microsoft.Azure.ServiceFabric.MC.Test.ServiceFabricMCNode-Test                  1.6.0.0
Microsoft.Azure.ServiceFabric.MC.Test.ServiceFabricMCNodeArm-Test               1.6.0.0
Microsoft.Azure.ServiceFabric.MC.Test.ServiceFabricMCNodeLinux-Test             1.6.0.0
Microsoft.Azure.ServiceFabric.MC.Test.SfmcSetup-Test                            1.4.0.0
Microsoft.Azure.ServiceFabric.MC.Test.SfmcSetupArm-Test                         1.4.0.0
Microsoft.Azure.ServiceFabric.MC.Test.SfmcSetupLinux-Test                       1.4.0.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNode                2.5.0.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNode-PrivateTest    2.1.1.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNode-updatefix      0.0.0.5
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNodeAlsantam        2.1.0.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNodeAnmenard        1.1.0.1
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNodeApatrush        1.5.0.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNodeApatrusheva     2.0.0.2
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricNode                     1.1.0.7
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricNodealsantam-Test        1.1.0.40
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricNodeapatrusheva-Test     1.8.0.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricNodeArmalsantam-Test     1.0.0.1
Microsoft.Azure.SiteRecovery.Stage.Linux                                        1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN10                                1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN11                                1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN12                                1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN13                                1.0.26.2
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN7                                 1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN8                                 1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN9                                 1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxOL10                                    1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxOL6                                     1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxOL7                                     1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxOL8                                     1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxOL9                                     1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL10                                  1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL6                                   1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL7                                   1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL8                                   1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL9                                   1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxSLES11SP3                               1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxSLES11SP4                               1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxSLES12                                  1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxSLES15                                  1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU1404                              1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU1604                              1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU1804                              1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU2004                              1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU2204                              1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU2404                              1.0.26.11
Microsoft.Azure.SiteRecovery.Stage.Ubuntu1804                                   1.0.0.109
Microsoft.Azure.SiteRecovery.Stage.Windows                                      1.0.26.11
Microsoft.Azure.SiteRecovery.Test.Linux                                         1.5.26.57
Microsoft.Azure.SiteRecovery.Test.LinuxOL6Test                                  1.5.26.57
Microsoft.Azure.SiteRecovery.Test.LinuxOL7                                      1.5.26.57
Microsoft.Azure.SiteRecovery.Test.LinuxRHEL6                                    1.5.26.57
Microsoft.Azure.SiteRecovery.Test.LinuxRHEL7Test                                1.5.26.57
Microsoft.Azure.SiteRecovery.Test.LinuxSLES11SP3Test                            1.5.26.57
Microsoft.Azure.SiteRecovery.Test.LinuxSLES11SP4Test                            1.5.26.57
Microsoft.Azure.SiteRecovery.Test.LinuxUBUNTU1404                               1.5.26.57
Microsoft.Azure.SiteRecovery.Test.LinuxUBUNTU1604                               1.5.26.57
Microsoft.Azure.SiteRecovery.Test.WindowsTest                                   1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN10                                1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN11                                1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN12                                1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN13                                1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN7                                 1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN8                                 1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxDEBIAN9                                 1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxOL10                                    1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxOL8                                     1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxOL9                                     1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxRHEL10                                  1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxRHEL8                                   1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxRHEL9                                   1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxSLES12                                  1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxSLES15                                  1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxUBUNTU1804                              1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxUBUNTU2004                              1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxUBUNTU2204                              1.5.26.57
Microsoft.Azure.SiteRecovery2.Test.LinuxUBUNTU2404                              1.5.26.57
Microsoft.Azure.Test.Identity.TestMSILinuxExtension                             1.0.0.7
Microsoft.Azure.Test.Identity.TestMSIWindowsExtension                           1.0.0.11
Microsoft.Azure.Workloads.MonitoringExtensionLinux                              1.0.94.12
Microsoft.Azure.Workloads.MonitoringExtensionWindows                            1.0.94.12
Microsoft.Azure.Workloads.WorkloadsExtensionLinux                               1.0.26.1
Microsoft.Azure.Workloads.WorkloadsExtensionWindows                             1.0.26.1
