
name                                     publisher                                                   version
LinuxUBUNTU2404                          Microsoft.Azure.RecoveryServices.SiteRecovery2              1.0.0.9262
Credactor.Test                           Microsoft.Security.CRED.Defender                            1.2.3
HybridWorkerForLinux                     Microsoft.Azure.Automation.HybridWorker                     1.1.31
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker                     1.3.63
LinuxOsUpdateExtension                   Microsoft.SoftwareUpdateManagement                          1.0.59.0
WindowsOsUpdateExtension                 Microsoft.SoftwareUpdateManagement                          1.0.33.0
LinuxDEBIAN10                            Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
StackifyLinuxAgentExtension              Stackify.LinuxAgent.Extension                               1.0.0.21
LinuxDEBIAN11                            Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxDEBIAN12                            Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxDEBIAN13                            Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
DSC                                      Microsoft.Powershell                                        2.83.5
LinuxDEBIAN7                             Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxDEBIAN8                             Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxDEBIAN9                             Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
AzureFileSyncAgentExtension              Microsoft.StorageSync                                       1.0.9
LinuxOL10                                Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxOL8                                 Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
DNSClientCache                           Microsoft.Azure.Networking.DNS.Dev                          1.17
LinuxOL9                                 Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
DNSServeStale                            Microsoft.Azure.Networking.DNS.Dev                          2.13
LinuxRHEL10                              Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxRHEL8                               Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxRHEL9                               Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxSLES12                              Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxSLES15                              Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxUBUNTU1804                          Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxUBUNTU2004                          Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
LinuxUBUNTU2204                          Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
SymantecEndpointProtection               Symantec                                                    12.1.7007.6505
LinuxUBUNTU2404                          Microsoft.Azure.SiteRecovery2.Test                          1.5.26.57
Windows                                  Microsoft.SiteRecovery.Dra                                  1.0.0.8
TaniumClientLinux                        Tanium.Client                                               1.2.9.0
TaniumClientWindows                      Tanium.Client                                               1.2.9.0
SecureOSExtension                        KevlarExtensions.M365Security.SecureOS                      1.10.0.0
TeamServicesAgent                        Microsoft.VisualStudio.Services                             1.33.1.1
TeamServicesAgentLinux                   Microsoft.VisualStudio.Services                             1.26.2.0
AzureCATExtensionHandler                 Microsoft.AzureCAT.AzureEnhancedMonitoring                  2.2.0.68
MonitorX64Linux                          Microsoft.AzureCAT.AzureEnhancedMonitoring                  1.93.0.0
MonitorX64Windows                        Microsoft.AzureCAT.AzureEnhancedMonitoring                  1.93.0.0
ConfDiskEncLinuxTest                     Microsoft.Azure.Security.ConfidentialDiskEncryption.Edp     1.0.0.12
TrendMicroDSA                            TrendMicro.DeepSecurity                                     10.0.0.107
FalconSensorLinux                        CrowdStrike.Falcon                                          1.3.0
TrendMicroDSALinux                       TrendMicro.DeepSecurity                                     10.0.0.106
FalconSensorWindows                      CrowdStrike.Falcon                                          1.3.0
MicrosoftMonitoringAgent                 Microsoft.EnterpriseCloud.Monitoring.Test                   1.0.11049.1
AmdAmaDriverLinux                        Microsoft.HpcCompute                                        1.1.0.2
AmdGpuDriverLinux                        Microsoft.HpcCompute                                        1.0.0.3
AmdGpuDriverWindows                      Microsoft.HpcCompute                                        1.5.0.5
HostIDSExtension-NON-PROD                Microsoft.M365Security.Kevlar.Test                          1.0.0.12
InfiniBandDriverLinux                    Microsoft.HpcCompute                                        1.4.0.0
ODLExtension-NON-PROD                    Microsoft.M365Security.Kevlar.Test                          1.1.0.12
InfiniBandDriverWindows                  Microsoft.HpcCompute                                        1.8.0.0
SecureOSExtension-NON-PROD               Microsoft.M365Security.Kevlar.Test                          1.11.0.3
NvidiaGpuDriverLinux                     Microsoft.HpcCompute                                        1.13.0.2
ApplicationMonitoringWindows             Microsoft.Azure.Diagnostics.Edp                             2.8.33
TestExtension                            Microsoft.M365Security.Kevlar.Test                          1.0.0.1
NvidiaGpuDriverWindows                   Microsoft.HpcCompute                                        1.10.0.9
IaaSDiagnostics                          Microsoft.Azure.Diagnostics.Edp                             1.18.0.3
TLSExtension-NON-PROD                    Microsoft.M365Security.Kevlar.Test                          1.0.0.12
LinuxDiagnostic                          Microsoft.Azure.Diagnostics.Edp                             3.0.129
LinuxAgent.SqlServer                     Microsoft.AzureData                                         1.1.3307.355
WindowsAgent.SqlServer                   Microsoft.AzureData                                         1.1.3307.355
AlertLogicLM                             alertlogic                                                  1.3.0.1
BmcCtmAgentLinux                         ctm.bmc.com                                                 9.0.0.1
SqlIaaSAgent                             Microsoft.SqlServer.Management                              2.0.225.0
HPCAcmAgent                              Microsoft.HpcPack                                           1.0.47.0
SqlIaaSAgentLinux                        Microsoft.SqlServer.Management                              1.0.7.12
HPCAcmAgentWin                           Microsoft.HpcPack                                           1.0.18.0
HPCComputeNode                           Microsoft.HpcPack                                           16.3.8322.0
decnf                                    Microsoft.M365AzsecpackAutoconfig.CentralNamespaceConfigure 1.10
LinuxNodeAgent                           Microsoft.HpcPack                                           1.7.11.2
LinuxNodeAgent2016                       Microsoft.HpcPack                                           2.1.6.0
LinuxNodeAgent2016U1                     Microsoft.HpcPack                                           16.3.8329.0
ReleaseManagement1                       Test.Microsoft.VisualStudio.Services                        1.0.0.0
AmdAmaDriverLinux                        Microsoft.HpcCompute.Edp                                    1.1.0.2
AmdGpuDriverLinux                        Microsoft.HpcCompute.Edp                                    1.0.0.3
DNSClientCache                           Microsoft.Azure.Networking.DNS                              1.7.0
